id,name,teachers,course_code,semester,program_code,program
131532,"79747_co3015_001966_cq kiểm tra phần mềm (co3015)_bùi hoài thắng (cq_hk252) [a01,l01]",bùi hoài thắng,co3015,hk252,cq,"a01,l01"
131910,79747_co3015_001966_clc software testing (co3015)_bùi hoài thắng (clc_hk252) [cc01],bùi hoài thắng,co3015,hk252,clc,cc01
130922,"79747_co3069_002415_cq mật mã và an ninh mạng (co3069)_nguyễn cao đạt (cq_hk252) [a01,l01]",nguyễn cao đạt,co3069,hk252,cq,"a01,l01"
130092,"79747_co3070_002415_cq mật mã và an ninh mạng (tn) (co3070)_nguyễn cao đạt (cq_hk252) [a01,l01,l02]",nguyễn cao đạt,co3070,hk252,cq,"a01,l01,l02"
133049,79747_ch2039_001950_clc food engineering 3 (ch2039)_nguyễn thị lê liên (clc_hk252) [cc01],nguyễn thị lê liên,ch2039,hk252,clc,cc01
132436,79747_ch2035_001950_cq kỹ thuật thực phẩm 2 (ch2035)_nguyễn thị lê liên (cq_hk252) [l01],nguyễn thị lê liên,ch2035,hk252,cq,l01
132173,79747_ch5653_001950_sdh sản xuất sạch hơn trong công nghiệp (ch5653)_nguyễn thị lê liên (sdh_hk252) [ch01],nguyễn thị lê liên,ch5653,hk252,sdh,ch01
132107,79747_ch3347_001950_clc reaction engineering (ch3347)_nguyễn thị lê liên (clc_hk252) [cc01],nguyễn thị lê liên,ch3347,hk252,clc,cc01
131021,79747_ch2035_001950_clc food engineering 2 (ch2035)_nguyễn thị lê liên (clc_hk252) [cc01],nguyễn thị lê liên,ch2035,hk252,clc,cc01
134845,79747_lcn_hc_001950_clc student class (lcn)_nguyễn thị lê liên (clc_hk252),nguyễn thị lê liên,,hk252,clc,
131866,"79747_sp1007_010602_clc introduction to vietnamese law (sp1007)_ngô khánh tùng (clc_hk252) [cc01,cc02,cc08]",ngô khánh tùng,sp1007,hk252,clc,"cc01,cc02,cc08"
130495,79747_co3141_001748_clc cloud computing (co3141)_thoại nam (clc_hk252) [cc01],thoại nam,co3141,hk252,clc,cc01
132656,79747_co3045_004141_clc game programming (co3045)_trần huy (clc_hk252) [cc01],trần huy,co3045,hk252,clc,cc01
132532,79747_co3117_004343_clc machine learning (co3117)_trương vĩnh lân (clc_hk252) [cc01],trương vĩnh lân,co3117,hk252,clc,cc01
134391,79747_lcn_mt_003634_clc student class (lcn)_nguyễn an khương (clc_hk252),nguyễn an khương,,hk252,clc,
132778,79747_im3023_002610_clc electronic commerce (im3023)_phạm quốc trung (clc_hk252) [cc01],phạm quốc trung,im3023,hk252,clc,cc01
133026,79747_me4023_002559_clc planning and scheduling in supply chain (me4023)_đỗ ngọc hiền (clc_hk252) [cc01],đỗ ngọc hiền,me4023,hk252,clc,cc01
131431,79747_me3257_004168_clc decision making models in supply chain (me3257)_nguyễn đức duy (clc_hk252) [cc01],nguyễn đức duy,me3257,hk252,clc,cc01
131033,"79747_me4024_003828_clc planning and scheduling in supply chain (lab) (me4024)_trần võ thảo hương (clc_hk252) [cc01,cc02]",trần võ thảo hương,me4024,hk252,clc,"cc01,cc02"
130766,79747_me4377_004074_clc logistics capstone project (me4377)_lao khải kiện (clc_hk252) [cc01],lao khải kiện,me4377,hk252,clc,cc01
134702,79747_lcn_ck_003627_clc student class (lcn)_lê đức đạo (clc_hk252),lê đức đạo,,hk252,clc,
130728,"79747_en1003_002169_cq con người và môi trường (en1003)_lâm văn giang (cq_hk252) [a04,l05,l06]",lâm văn giang,en1003,hk252,cq,"a04,l05,l06"
132035,"79747_ee3009_002322_cq máy điện (ee3009)_trần công binh (cq_hk252) [l01,l02]",trần công binh,ee3009,hk252,cq,"l01,l02"
131618,79747_ee3133_001972_cq thiết bị điện trong phân phối điện (ee3133)_nguyễn ngọc tú (cq_hk252) [l01],nguyễn ngọc tú,ee3133,hk252,cq,l01
130068,"79747_ee3010_003303_cq máy điện (thí nghiệm) (ee3010)_nguyễn thanh tâm (cq_hk252) [l01,l02,l03,l04,l05,l06,l07,l08,l09,l10]",nguyễn thanh tâm,ee3010,hk252,cq,"l01,l02,l03,l04,l05,l06,l07,l08,l09,l10"
131655,79747_ee3099_002729_cq kỹ thuật chiếu sáng (ee3099)_trương phước hòa (cq_hk252) [l01],trương phước hòa,ee3099,hk252,cq,l01
131286,79747_ee3101_004170_cq kỹ thuật tiết kiệm và sử dụng hiệu quả điện năng (ee3101)_phạm minh đức (cq_hk252) [l01],phạm minh đức,ee3101,hk252,cq,l01
130066,"79747_ee3100_003315_cq kỹ thuật chiếu sáng (thí nghiệm) (ee3100)_nguyễn bảo anh (cq_hk252) [l01,l03]",nguyễn bảo anh,ee3100,hk252,cq,"l01,l03"
134431,79747_lcn_dd_003884_cq lớp chủ nhiệm (lcn)_nguyễn đức hưng (cq_hk252),nguyễn đức hưng,,hk252,cq,
