code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
ci2141,bản đồ học,3,l01,13/80,v,châu phương khanh,thứ 6,- - - - - - - - - 10 11 - - - - -,h6-110,2,
im5067,quản trị tài chánh,3,ch01,20/60,v,nguyễn thu hiền,thứ 3,- - - - - - - - - - - - 13 14 15 -,b8-303,1,
co5117,khai phá dữ liệu,3,ch01,80/80,v,trần minh quang,thứ 2,- - - - - - - - - - - - 13 14 15 -,b4-305,1,
as4325,đề cương luận văn tn,0,t01,1/500,v,trần thị thu hạnh,chưa biết,--,------,1,
me5123,thiết kế và phân tích cơ cấu nâng cao,3,ch01,11/60,v,bùi trọng hiếu,thứ 5,- - - - - - - - - - - - 13 14 15 -,b4-401,1,
ci5249,phương pháp phần tử hữu hạn nâng cao,3,ch01,7/56,v,nguyễn thái bình,thứ 7,- - 3 4 5 - - - - - - - - - - -,b1-305,1,
ch4053,đồ án chuyên ngành,2,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ch4053,đồ án chuyên ngành,2,cc01,9/60,v,chưa/đang phân công,chưa biết,--,------,1,
ch4053,đồ án chuyên ngành,2,l01,21/40,v,chưa/đang phân công,chưa biết,--,------,2,
ch4053,đồ án chuyên ngành,2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,a01,3/9000,v,,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
ee5027,luận văn tốt nghiệp,9,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ge2047,tb khai thác tbm&htđktđ,3,l01,14/60,v,trần nguyễn thiện tâm,thứ 4,- - - 4 5 - - - - - - - - - - -,h1-703,2,
ci4343,luận văn tốt nghiệp,9,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ci4343,luận văn tốt nghiệp,9,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ci4343,luận văn tốt nghiệp,9,l01,4/900,v,chưa/đang phân công,chưa biết,--,------,2,
ci4343,luận văn tốt nghiệp,9,t01,2/500,v,chưa/đang phân công,chưa biết,--,------,1,
me3153,ky thuat dieu hoa k/khi,3,l01_l01,25/25,v,lê chí hiệp,,,,,
me3153,ky thuat dieu hoa k/khi,3,l01_l02,23/25,v,lê chí hiệp,,,,,
ee7147,luận án tiến sĩ - phần 2,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
pe1017,cầu lông (học phần 1),0,cc01,40/60,v,chưa/đang phân công,thứ 6,- 2 3 4 - - - - - - - - - - - -,b12-san1,1,
pe1017,cầu lông (học phần 1),0,l01,53/60,v,chưa/đang phân công,thứ 6,- 2 3 4 - - - - - - - - - - - -,cs2-nhathidau-sa,2,
sp1031,triết học mác - lênin,3,a01,71/120,v,lê đức sơn,thứ 4,- 2 3 - - - - - - - - - - - - -,c4-503,1,
sp1031,triết học mác - lênin,3,a02,120/120,v,,thứ 3,- - - - 5 6 - - - - - - - - - -,b4-505,1,
sp1031,triết học mác - lênin,3,a03,89/120,v,nguyễn thị minh hương,thứ 2,- - - - 5 6 - - - - - - - - - -,c4-503,1,
sp1031,triết học mác - lênin,3,cc02,110/140,v,lê đức sơn,thứ 4,- - - 4 5 - - - - - - - - - - -,b6-gdb6,1,
